TeamID,TeamName,Country
1,Ireland,National
2,Northern Ireland,National
3,Scotland,National
4,Wales,National
5,England,National
6,Portugal,National
7,Spain,National
8,France,National
9,Belgium,National
10,Netherlands,National
11,Switzerland,National
12,Italy,National
13,Czech Republic,National
14,Germany,National
15,Denmark,National
16,Norway,National
17,Sweden,National
18,Finland,National
19,Poland,National
20,Slovakia,National
21,Austria,National
22,Hungary,National
23,Slovenia,National
24,Croatia,National
26,Romania,National
27,Bulgaria,National
28,Greece,National
29,Turkey,National
30,Ukraine,National
31,Russia,National
32,Morocco,National
33,Tunisia,National
34,Egypt,National
35,Nigeria,National
36,Cameroon,National
37,South Africa,National
38,Senegal,National
39,United States,National
40,Mexico,National
41,Jamaica,National
42,Costa Rica,National
43,Honduras,National
44,Colombia,National
45,Brazil,National
46,Peru,National
47,Chile,National
48,Paraguay,National
49,Uruguay,National
50,Argentina,National
51,Ecuador,National
52,Japan,National
53,South Korea,National
54,China,National
55,Iran,National
56,Saudi Arabia,National
57,Australia,National
59,Latvia,National
1001,Afghanistan,National
1002,Bahrain,National
1003,Bangladesh,National
1006,Cambodia,National
1007,Hong Kong,National
1008,India,National
1009,Indonesia,National
1010,Iraq,National
1011,Jordan,National
1012,North Korea,National
1013,Kuwait,National
1015,Lebanon,National
1017,Malaysia,National
1020,Myanmar,National
1021,Nepal,National
1022,Oman,National
1023,Pakistan,National
1024,Palestine,National
1025,Philippines,National
1026,Qatar,National
1027,Singapore,National
1029,Syria,National
1031,Thailand,National
1032,United Arab Emirates,National
1033,Vietnam,National
1036,Tajikistan,National
1040,Algeria,National
1041,Angola,National
1042,Benin,National
1044,Burkina Faso,National
1046,Cape Verde,National
1050,Congo Dr,National
1051,Côte D'Ivoire,National
1056,Gabon,National
1058,Ghana,National
1059,Guinea,National
1061,Kenya,National
1065,Madagascar,National
1067,Mali,National
1080,Tanzania,National
1081,Togo,National
1082,Uganda,National
1083,Zambia,National
1084,Zimbabwe,National
1087,Congo,National
1099,Canada,National
1104,El Salvador,National
1107,Guatemala,National
1108,Haiti,National
1113,Panama,National
1118,Trinidad and Tobago,National
1124,Curacao,National
1128,Bolivia,National
1129,Venezuela,National
1141,New Zealand,National
1164,Israel,National
1165,Albania,National
1166,Andorra,National
1167,Armenia,National
1168,Azerbaijan,National
1169,Belarus,National
1170,Bosnia and Herzegovina,National
1171,Cyprus,National
1172,Estonia,National
1173,Faroe Islands,National
1174,Georgia,National
1175,Iceland,National
1176,Kazakhstan,National
1177,Liechtenstein,National
1178,Lithuania,National
1179,Luxembourg,National
1180,North Macedonia,National
1181,Malta,National
1182,Moldova,National
1183,San Marino,National
1184,Uzbekistan,National
